Unnamed: 0,parameter,Date,units_of_measure,first_max_value,aqi,state,COUNTY,attr_IncidentName,poly_Acres_AutoCalc,attr_FireCauseGeneral,attr_FireDiscoveryDateTime,attr_FireOutDateTime,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseDateTime,attr_POOState,attr_PredominantFuelGroup,Time,FireDuration
52732,Acceptable PM2.5 AQI & Speciation Mass,10/26/2020,Micrograms/cubic meter (LC),15.0,57,California,Riverside,BLUE RIDGE,13694.2538828018,,2020-10-26 19:56:00+00:00,,,,,US-CA,,19:56:00+00,
52013,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),12.3,51,California,San Bernardino,SILVER,0.0152743408046094,,2021-10-07 02:05:00+00:00,2021-10-08 18:59:59+00:00,34.8042,-115.6865,2021/10/07 02:06:00+00,US-CA,Grass-Shrub,02:05:00+00,1 days 16:54:59
52013,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),12.3,51,California,San Bernardino,WHISKEY SPRING,0.0034300881962528,,2021-10-07 02:03:00+00:00,2021-10-08 18:59:59+00:00,34.99765,-115.4511,2021/10/07 02:03:59+00,US-CA,Grass-Shrub,02:03:00+00,1 days 16:56:59
55570,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),11.7,49,California,San Bernardino,SILVER,0.0152743408046094,,2021-10-07 02:05:00+00:00,2021-10-08 18:59:59+00:00,34.8042,-115.6865,2021/10/07 02:06:00+00,US-CA,Grass-Shrub,02:05:00+00,1 days 16:54:59
55570,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),11.7,49,California,San Bernardino,WHISKEY SPRING,0.0034300881962528,,2021-10-07 02:03:00+00:00,2021-10-08 18:59:59+00:00,34.99765,-115.4511,2021/10/07 02:03:59+00,US-CA,Grass-Shrub,02:03:00+00,1 days 16:56:59
45225,Acceptable PM2.5 AQI & Speciation Mass,09/10/2021,Micrograms/cubic meter (LC),10.9,45,California,Tulare,WINDY,97527.8954696151,,2021-09-10 00:46:59+00:00,2021-12-14 15:59:59+00:00,36.04713,-118.6308,,US-CA,,00:46:59+00,95 days 15:13:00
45197,Acceptable PM2.5 AQI & Speciation Mass,06/18/2021,Micrograms/cubic meter (LC),13.7,54,California,Tulare,PORT,80.9158480430073,,2021-06-18 08:38:25+00:00,,36.123655,-119.023126,,US-CA,,08:38:25+00,
49556,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),16.6,60,California,San Bernardino,WHISKEY SPRING,0.0034300881962528,,2021-10-07 02:03:00+00:00,2021-10-08 18:59:59+00:00,34.99765,-115.4511,2021/10/07 02:03:59+00,US-CA,Grass-Shrub,02:03:00+00,1 days 16:56:59
45197,Acceptable PM2.5 AQI & Speciation Mass,06/18/2021,Micrograms/cubic meter (LC),13.7,54,California,Tulare,MOUNTAIN ,124.15677090939,,2021-06-18 09:17:00+00:00,2021-07-21 21:20:00+00:00,36.09662,-118.7427,2021/06/18 21:25:00+00,US-CA,Brush,09:17:00+00,33 days 12:03:00
45115,Acceptable PM2.5 AQI & Speciation Mass,09/22/2021,Micrograms/cubic meter (LC),5.1,21,California,Shasta,FAWN,8577.49694278248,,2021-09-22 23:41:00+00:00,2021-10-03 18:59:59+00:00,40.735333,-122.291817,2021/09/22 23:55:00+00,US-CA,Timber,23:41:00+00,10 days 19:18:59
52016,Acceptable PM2.5 AQI & Speciation Mass,11/05/2021,Micrograms/cubic meter (LC),5.1,21,California,San Bernardino,OPAL,64.809583387494,Camping,2021-11-05 22:47:00+00:00,,34.08338,-117.1417,2021/11/05 22:47:00+00,US-CA,Grass-Shrub,22:47:00+00,
55628,Acceptable PM2.5 AQI & Speciation Mass,11/05/2021,Micrograms/cubic meter (LC),25.2,79,California,San Bernardino,OPAL,64.809583387494,Camping,2021-11-05 22:47:00+00:00,,34.08338,-117.1417,2021/11/05 22:47:00+00,US-CA,Grass-Shrub,22:47:00+00,
45102,Acceptable PM2.5 AQI & Speciation Mass,08/11/2021,Micrograms/cubic meter (LC),49.5,135,California,Shasta,CLEAR,0.0015775054763121,Camping,2021-08-11 15:44:47+00:00,2021-08-11 16:44:59+00:00,40.506917,-122.397667,2021/08/11 15:45:00+00,US-CA,Grass,15:44:47+00,0 days 01:00:12
45098,Acceptable PM2.5 AQI & Speciation Mass,07/30/2021,Micrograms/cubic meter (LC),25.2,79,California,Shasta,MCFARLAND,122447.269512159,Lightning,2021-07-30 01:44:00+00:00,2023-04-17 01:24:00+00:00,40.31848,-123.0374,2021/07/30 03:00:00+00,US-CA,Timber,01:44:00+00,625 days 23:40:00
45088,Acceptable PM2.5 AQI & Speciation Mass,06/30/2021,Micrograms/cubic meter (LC),3.8,16,California,Shasta,SALT,12611.2764274409,,2021-06-30 20:31:00+00:00,2021-10-29 15:59:59+00:00,40.84861,-122.3358,2021/06/30 20:35:00+00,US-CA,Timber,20:31:00+00,120 days 19:28:59
45197,Acceptable PM2.5 AQI & Speciation Mass,06/18/2021,Micrograms/cubic meter (LC),13.7,54,California,Tulare,NETTLE ,1265.74170995959,,2021-06-18 08:55:00+00:00,2021-07-16 00:59:59+00:00,36.02191,-118.7588,,US-CA,,08:55:00+00,27 days 16:04:59
49556,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),16.6,60,California,San Bernardino,SILVER,0.0152743408046094,,2021-10-07 02:05:00+00:00,2021-10-08 18:59:59+00:00,34.8042,-115.6865,2021/10/07 02:06:00+00,US-CA,Grass-Shrub,02:05:00+00,1 days 16:54:59
45432,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),4.6,19,California,San Bernardino,WHISKEY SPRING,0.0034300881962528,,2021-10-07 02:03:00+00:00,2021-10-08 18:59:59+00:00,34.99765,-115.4511,2021/10/07 02:03:59+00,US-CA,Grass-Shrub,02:03:00+00,1 days 16:56:59
45432,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),4.6,19,California,San Bernardino,SILVER,0.0152743408046094,,2021-10-07 02:05:00+00:00,2021-10-08 18:59:59+00:00,34.8042,-115.6865,2021/10/07 02:06:00+00,US-CA,Grass-Shrub,02:05:00+00,1 days 16:54:59
45305,Acceptable PM2.5 AQI & Speciation Mass,07/30/2021,Micrograms/cubic meter (LC),10.7,45,California,Siskiyou,WHISKEY,3.3548936869983,Lightning,2021-07-30 19:05:33+00:00,2021-07-31 16:43:00+00:00,41.45,-122.963533,2021/07/30 19:12:59+00,US-CA,Timber,19:05:33+00,0 days 21:37:27
45305,Acceptable PM2.5 AQI & Speciation Mass,07/30/2021,Micrograms/cubic meter (LC),10.7,45,California,Siskiyou,BUTTE,3.3548938077001,,2021-07-30 23:31:23+00:00,,41.441333,-122.955,,US-CA,,23:31:23+00,
52005,Acceptable PM2.5 AQI & Speciation Mass,10/03/2021,Micrograms/cubic meter (LC),7.0,29,California,San Bernardino,BRISTOL 2,0.0967726733691175,,2021-10-03 18:04:59+00:00,2021-10-04 00:59:59+00:00,34.7293,-115.8412,2021/10/03 18:14:59+00,US-CA,Grass,18:04:59+00,0 days 06:55:00
55562,Acceptable PM2.5 AQI & Speciation Mass,10/03/2021,Micrograms/cubic meter (LC),6.8,28,California,San Bernardino,BRISTOL 2,0.0967726733691175,,2021-10-03 18:04:59+00:00,2021-10-04 00:59:59+00:00,34.7293,-115.8412,2021/10/03 18:14:59+00,US-CA,Grass,18:04:59+00,0 days 06:55:00
45302,Acceptable PM2.5 AQI & Speciation Mass,07/21/2021,Micrograms/cubic meter (LC),4.5,19,California,Siskiyou,EVERETT,0.0644465886071014,Other Human Cause,2021-07-21 14:38:00+00:00,2021-07-24 16:04:00+00:00,41.35537,-122.3096,2021/07/21 14:40:00+00,US-CA,Timber,14:38:00+00,3 days 01:26:00
45294,Acceptable PM2.5 AQI & Speciation Mass,06/24/2021,Micrograms/cubic meter (LC),3.0,13,California,Siskiyou,ROUND,0.449003251167948,,2021-06-24 18:39:21+00:00,2021-06-30 21:43:00+00:00,41.40052,-121.4591,2021/06/24 21:43:59+00,US-CA,Timber,18:39:21+00,6 days 03:03:39
45267,Acceptable PM2.5 AQI & Speciation Mass,04/04/2021,Micrograms/cubic meter (LC),4.9,20,California,Siskiyou,ELK,45.0077585438917,,2021-04-04 22:17:54+00:00,2021-07-03 22:18:00+00:00,41.720743,-123.29565,2021/04/04 22:20:00+00,US-CA,Timber,22:17:54+00,90 days 00:00:06
52009,Acceptable PM2.5 AQI & Speciation Mass,10/05/2021,Micrograms/cubic meter (LC),7.7,32,California,San Bernardino,SEELEY,0.346358309419622,,2021-10-05 06:19:00+00:00,2021-10-08 16:30:00+00:00,34.23807,-117.2967,2021/10/05 06:23:00+00,US-CA,Timber,06:19:00+00,3 days 10:11:00
45264,Acceptable PM2.5 AQI & Speciation Mass,03/26/2021,Micrograms/cubic meter (LC),1.2,5,California,Siskiyou,HORSE,10.6127802562743,,2021-03-26 22:12:47+00:00,2021-04-18 22:08:00+00:00,41.8603,-123.042117,2021/03/26 22:15:00+00,US-CA,Slash,22:12:47+00,22 days 23:55:13
45225,Acceptable PM2.5 AQI & Speciation Mass,09/10/2021,Micrograms/cubic meter (LC),10.9,45,California,Tulare,CRAWFORD,2.09124557836089,,2021-09-10 03:14:59+00:00,2021-09-18 00:59:59+00:00,,,2021/09/10 03:20:00+00,US-CA,Timber,03:14:59+00,7 days 21:45:00
45225,Acceptable PM2.5 AQI & Speciation Mass,09/10/2021,Micrograms/cubic meter (LC),10.9,45,California,Tulare,CASE,3.77091171209175,Lightning,2021-09-10 09:20:57+00:00,2021-09-14 15:00:00+00:00,36.418917,-118.7851,2021/09/10 09:30:00+00,US-CA,Timber,09:20:57+00,4 days 05:39:03
45225,Acceptable PM2.5 AQI & Speciation Mass,09/10/2021,Micrograms/cubic meter (LC),10.9,45,California,Tulare,Colony,3162.56566125088,,2021-09-10 14:19:59+00:00,2021-12-31 15:59:59+00:00,36.56688,-118.8115,,US-CA,,14:19:59+00,112 days 01:40:00
45225,Acceptable PM2.5 AQI & Speciation Mass,09/10/2021,Micrograms/cubic meter (LC),10.9,45,California,Tulare,Paradise,8204.49181141802,,2021-09-10 18:22:00+00:00,2021-12-31 15:59:59+00:00,36.50725,-118.7675,,US-CA,,18:22:00+00,111 days 21:37:59
39970,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),4.3,18,California,San Bernardino,SILVER,0.0152743408046094,,2021-10-07 02:05:00+00:00,2021-10-08 18:59:59+00:00,34.8042,-115.6865,2021/10/07 02:06:00+00,US-CA,Grass-Shrub,02:05:00+00,1 days 16:54:59
39970,Acceptable PM2.5 AQI & Speciation Mass,10/07/2021,Micrograms/cubic meter (LC),4.3,18,California,San Bernardino,WHISKEY SPRING,0.0034300881962528,,2021-10-07 02:03:00+00:00,2021-10-08 18:59:59+00:00,34.99765,-115.4511,2021/10/07 02:03:59+00,US-CA,Grass-Shrub,02:03:00+00,1 days 16:56:59
52028,Acceptable PM2.5 AQI & Speciation Mass,11/11/2021,Micrograms/cubic meter (LC),2.3,10,California,San Bernardino,TURNOUT,0.020692818721871,,2021-11-11 18:16:00+00:00,2021-11-12 19:40:00+00:00,34.1361,-117.1912,2021/11/11 18:16:00+00,US-CA,Grass-Shrub,18:16:00+00,1 days 01:24:00
45305,Acceptable PM2.5 AQI & Speciation Mass,07/30/2021,Micrograms/cubic meter (LC),10.7,45,California,Siskiyou,LICK,3.35489267805082,,2021-07-30 23:25:25+00:00,,41.749702,-123.00086,,US-CA,,23:25:25+00,
55640,Acceptable PM2.5 AQI & Speciation Mass,11/11/2021,Micrograms/cubic meter (LC),4.9,20,California,San Bernardino,TURNOUT,0.020692818721871,,2021-11-11 18:16:00+00:00,2021-11-12 19:40:00+00:00,34.1361,-117.1912,2021/11/11 18:16:00+00,US-CA,Grass-Shrub,18:16:00+00,1 days 01:24:00
45073,Acceptable PM2.5 AQI & Speciation Mass,05/16/2021,Micrograms/cubic meter (LC),3.6,15,California,Shasta,Antlers,0.0962306748640443,,2021-05-16 21:14:59+00:00,2021-05-18 17:45:00+00:00,40.88408,-122.3842,2021/05/16 21:25:00+00,US-CA,Grass,21:14:59+00,1 days 20:30:01
44302,Acceptable PM2.5 AQI & Speciation Mass,05/22/2021,Micrograms/cubic meter (LC),4.9,20,California,Santa Barbara,Gibraltar,25.3662316554092,,2021-05-22 00:07:00+00:00,2021-06-05 00:30:00+00:00,34.52203,-119.6881,2021/05/22 00:07:00+00,US-CA,Brush,00:07:00+00,14 days 00:23:00
72292,Acceptable PM2.5 AQI & Speciation Mass,10/20/2021,Micrograms/cubic meter (LC),9.7,40,California,Riverside,BOX,0.0052504551845419,,2021-10-20 00:38:00+00:00,2021-10-20 01:30:00+00:00,33.65936,-115.8019,2021/10/20 00:38:00+00,US-CA,Grass,00:38:00+00,0 days 00:52:00
44312,Acceptable PM2.5 AQI & Speciation Mass,06/21/2021,Micrograms/cubic meter (LC),3.0,13,California,Santa Barbara,One,37.05339034853,,2021-06-21 21:59:00+00:00,,,,,US-CA,,21:59:00+00,
52894,Acceptable PM2.5 AQI & Speciation Mass,10/20/2021,Micrograms/cubic meter (LC),11.4,48,California,Riverside,BOX,0.0052504551845419,,2021-10-20 00:38:00+00:00,2021-10-20 01:30:00+00:00,33.65936,-115.8019,2021/10/20 00:38:00+00,US-CA,Grass,00:38:00+00,0 days 00:52:00
51313,Acceptable PM2.5 AQI & Speciation Mass,10/20/2021,Micrograms/cubic meter (LC),5.5,23,California,Riverside,BOX,0.0052504551845419,,2021-10-20 00:38:00+00:00,2021-10-20 01:30:00+00:00,33.65936,-115.8019,2021/10/20 00:38:00+00,US-CA,Grass,00:38:00+00,0 days 00:52:00
44319,Acceptable PM2.5 AQI & Speciation Mass,07/12/2021,Micrograms/cubic meter (LC),5.1,21,California,Santa Barbara,Gifford,4.9958155348049,,2021-07-12 05:31:00+00:00,2021-07-17 00:59:59+00:00,35.07645,-120.1562,,US-CA,Grass-Shrub,05:31:00+00,4 days 19:28:59
51315,Acceptable PM2.5 AQI & Speciation Mass,10/21/2021,Micrograms/cubic meter (LC),6.8,28,California,Riverside,BUCHANAN,0.0035838284750346,,2021-10-21 20:25:00+00:00,2021-10-21 21:00:00+00:00,33.64244,-116.0943,2021/10/21 20:28:00+00,US-CA,Brush,20:25:00+00,0 days 00:35:00
44322,Acceptable PM2.5 AQI & Speciation Mass,07/21/2021,Micrograms/cubic meter (LC),5.9,25,California,Santa Barbara,Lizard,0.0226198367552045,,2021-07-21 02:28:01+00:00,2021-07-26 21:45:00+00:00,34.50354,-119.8766,2021/07/21 02:29:59+00,US-CA,Brush,02:28:01+00,5 days 19:16:59
4268,Acceptable PM2.5 AQI & Speciation Mass,01/19/2021,Micrograms/cubic meter (LC),1.8,8,California,El Dorado,COLD,34.5133054911702,Debris/Open Burning,2021-01-19 20:43:18+00:00,2021-05-04 16:42:00+00:00,38.70495,-120.414417,,US-CA,,20:43:18+00,104 days 19:58:42
4268,Acceptable PM2.5 AQI & Speciation Mass,01/19/2021,Micrograms/cubic meter (LC),1.8,8,California,El Dorado,FRISCO,,Debris/Open Burning,2021-01-19 13:27:38+00:00,,38.835038,-120.313596,,US-CA,,13:27:38+00,
4268,Acceptable PM2.5 AQI & Speciation Mass,01/19/2021,Micrograms/cubic meter (LC),1.8,8,California,El Dorado,UNION,,Investigated but Undetermined,2021-01-19 18:14:42+00:00,2021-01-22 20:00:00+00:00,38.8955,-120.3955,,US-CA,,18:14:42+00,3 days 01:45:18
4301,Acceptable PM2.5 AQI & Speciation Mass,05/01/2021,Micrograms/cubic meter (LC),2.3,10,California,El Dorado,SALMON,31.6910991151019,,2021-05-01 19:10:00+00:00,,38.773512,-121.035392,,US-CA,,19:10:00+00,
39814,Acceptable PM2.5 AQI & Speciation Mass,05/01/2021,Micrograms/cubic meter (LC),1.7,7,California,El Dorado,SALMON,31.6910991151019,,2021-05-01 19:10:00+00:00,,38.773512,-121.035392,,US-CA,,19:10:00+00,
4329,Acceptable PM2.5 AQI & Speciation Mass,07/27/2021,Micrograms/cubic meter (LC),9.8,41,California,El Dorado,SYLVIA,0.0011180938148787,,2021-07-27 22:15:05+00:00,2021-07-28 18:49:00+00:00,38.840483,-120.183337,2021/07/27 23:00:00+00,US-CA,Timber,22:15:05+00,0 days 20:33:55
72290,Acceptable PM2.5 AQI & Speciation Mass,10/19/2021,Micrograms/cubic meter (LC),4.8,20,California,Riverside,I 10  E/ SUMMIT RD ONRP,0.0066952249941663,,2021-10-19 13:39:36+00:00,2021-10-19 14:29:59+00:00,33.660281,-115.719228,2021/10/19 13:46:00+00,US-CA,Grass,13:39:36+00,0 days 00:50:23
52896,Acceptable PM2.5 AQI & Speciation Mass,10/21/2021,Micrograms/cubic meter (LC),10.2,43,California,Riverside,BUCHANAN,0.0035838284750346,,2021-10-21 20:25:00+00:00,2021-10-21 21:00:00+00:00,33.64244,-116.0943,2021/10/21 20:28:00+00,US-CA,Brush,20:25:00+00,0 days 00:35:00
72294,Acceptable PM2.5 AQI & Speciation Mass,10/21/2021,Micrograms/cubic meter (LC),10.3,43,California,Riverside,BUCHANAN,0.0035838284750346,,2021-10-21 20:25:00+00:00,2021-10-21 21:00:00+00:00,33.64244,-116.0943,2021/10/21 20:28:00+00,US-CA,Brush,20:25:00+00,0 days 00:35:00
55720,Acceptable PM2.5 AQI & Speciation Mass,12/21/2021,Micrograms/cubic meter (LC),11.5,48,California,San Bernardino,QUAILS,,Smoking,2021-12-21 15:30:59+00:00,2021-12-22 17:10:00+00:00,34.16563,-117.2521,2021/12/21 15:32:00+00,US-CA,Grass,15:30:59+00,1 days 01:39:01
45062,Acceptable PM2.5 AQI & Speciation Mass,04/13/2021,Micrograms/cubic meter (LC),2.6,11,California,Shasta,LOWER,0.407310151739944,,2021-04-13 00:27:59+00:00,2021-04-15 18:22:51+00:00,40.84222,-122.3519,2021/04/13 00:30:00+00,US-CA,Timber,00:27:59+00,2 days 17:54:52
45056,Acceptable PM2.5 AQI & Speciation Mass,03/26/2021,Micrograms/cubic meter (LC),0.7,3,California,Shasta,DONEY,0.175951151263711,,2021-03-26 21:01:59+00:00,2021-03-29 19:44:59+00:00,40.88735,-122.3921,,US-CA,Grass-Shrub,21:01:59+00,2 days 22:43:00
44436,Acceptable PM2.5 AQI & Speciation Mass,07/12/2021,Micrograms/cubic meter (LC),13.0,53,California,Mono,DEXTER,2972.8066440197,,2021-07-12 16:34:59+00:00,2022-01-07 02:31:00+00:00,37.80244,-118.8745,2021/07/12 16:38:00+00,US-CA,Timber,16:34:59+00,178 days 09:56:01
44433,Acceptable PM2.5 AQI & Speciation Mass,07/03/2021,Micrograms/cubic meter (LC),4.2,18,California,Mono,Pan ,38.7625512847001,,2021-07-03 18:46:59+00:00,2021-07-15 19:21:29+00:00,38.41117,-119.2492,2021/07/03 19:21:00+00,US-CA,Timber,18:46:59+00,12 days 00:34:30
52046,Acceptable PM2.5 AQI & Speciation Mass,11/20/2021,Micrograms/cubic meter (LC),7.1,30,California,San Bernardino,INTERCHANGE,0.0001710282349456,,2021-11-20 15:20:56+00:00,2021-11-20 16:20:00+00:00,34.23383,-117.4215,,US-CA,,15:20:56+00,0 days 00:59:04
55658,Acceptable PM2.5 AQI & Speciation Mass,11/20/2021,Micrograms/cubic meter (LC),38.3,108,California,San Bernardino,INTERCHANGE,0.0001710282349456,,2021-11-20 15:20:56+00:00,2021-11-20 16:20:00+00:00,34.23383,-117.4215,,US-CA,,15:20:56+00,0 days 00:59:04
44413,Acceptable PM2.5 AQI & Speciation Mass,05/04/2021,Micrograms/cubic meter (LC),2.9,12,California,Mono,CUTOFF,0.145987627390985,,2021-05-04 20:31:00+00:00,2021-05-15 21:45:00+00:00,37.69708,-118.955,2021/05/04 20:32:00+00,US-CA,Timber,20:31:00+00,11 days 01:14:00
66650,Acceptable PM2.5 AQI & Speciation Mass,11/12/2021,Micrograms/cubic meter (LC),0.8,3,California,Riverside,ACANTO,1.00103821726325,Incendiary,2021-11-12 20:54:41+00:00,2021-11-14 22:26:00+00:00,33.77592,-116.5449,2021/11/12 21:00:00+00,US-CA,Grass-Shrub,20:54:41+00,2 days 01:31:19
52050,Acceptable PM2.5 AQI & Speciation Mass,11/22/2021,Micrograms/cubic meter (LC),9.0,38,California,San Bernardino,FIFTEEN,,Undetermined,2021-11-22 15:01:59+00:00,2021-11-23 22:30:00+00:00,34.35636,-117.437,2021/11/22 16:44:00+00,US-CA,Grass,15:01:59+00,1 days 07:28:01
55662,Acceptable PM2.5 AQI & Speciation Mass,11/22/2021,Micrograms/cubic meter (LC),4.8,20,California,San Bernardino,FIFTEEN,,Undetermined,2021-11-22 15:01:59+00:00,2021-11-23 22:30:00+00:00,34.35636,-117.437,2021/11/22 16:44:00+00,US-CA,Grass,15:01:59+00,1 days 07:28:01
52940,Acceptable PM2.5 AQI & Speciation Mass,11/12/2021,Micrograms/cubic meter (LC),6.7,28,California,Riverside,ACANTO,1.00103821726325,Incendiary,2021-11-12 20:54:41+00:00,2021-11-14 22:26:00+00:00,33.77592,-116.5449,2021/11/12 21:00:00+00,US-CA,Grass-Shrub,20:54:41+00,2 days 01:31:19
51358,Acceptable PM2.5 AQI & Speciation Mass,11/12/2021,Micrograms/cubic meter (LC),2.0,8,California,Riverside,ACANTO,1.00103821726325,Incendiary,2021-11-12 20:54:41+00:00,2021-11-14 22:26:00+00:00,33.77592,-116.5449,2021/11/12 21:00:00+00,US-CA,Grass-Shrub,20:54:41+00,2 days 01:31:19
49680,Acceptable PM2.5 AQI & Speciation Mass,11/12/2021,Micrograms/cubic meter (LC),3.7,15,California,Riverside,ACANTO,1.00103821726325,Incendiary,2021-11-12 20:54:41+00:00,2021-11-14 22:26:00+00:00,33.77592,-116.5449,2021/11/12 21:00:00+00,US-CA,Grass-Shrub,20:54:41+00,2 days 01:31:19
39994,Acceptable PM2.5 AQI & Speciation Mass,12/21/2021,Micrograms/cubic meter (LC),0.7,3,California,San Bernardino,QUAILS,,Smoking,2021-12-21 15:30:59+00:00,2021-12-22 17:10:00+00:00,34.16563,-117.2521,2021/12/21 15:32:00+00,US-CA,Grass,15:30:59+00,1 days 01:39:01
45457,Acceptable PM2.5 AQI & Speciation Mass,12/21/2021,Micrograms/cubic meter (LC),2.6,11,California,San Bernardino,QUAILS,,Smoking,2021-12-21 15:30:59+00:00,2021-12-22 17:10:00+00:00,34.16563,-117.2521,2021/12/21 15:32:00+00,US-CA,Grass,15:30:59+00,1 days 01:39:01
45083,Acceptable PM2.5 AQI & Speciation Mass,06/15/2021,Micrograms/cubic meter (LC),2.9,12,California,Shasta,ROCK,129.647496983945,,2021-06-15 22:56:18+00:00,,40.6355,-122.50505,,US-CA,,22:56:18+00,
39841,Acceptable PM2.5 AQI & Speciation Mass,07/27/2021,Micrograms/cubic meter (LC),9.7,40,California,El Dorado,SYLVIA,0.0011180938148787,,2021-07-27 22:15:05+00:00,2021-07-28 18:49:00+00:00,38.840483,-120.183337,2021/07/27 23:00:00+00,US-CA,Timber,22:15:05+00,0 days 20:33:55
45305,Acceptable PM2.5 AQI & Speciation Mass,07/30/2021,Micrograms/cubic meter (LC),10.7,45,California,Siskiyou,RUFFEY,3.35489087574845,Lightning,2021-07-30 23:57:00+00:00,2021-08-03 21:04:00+00:00,41.3988,-122.947967,2021/07/31 00:07:00+00,US-CA,Timber,23:57:00+00,3 days 21:07:00
51991,Acceptable PM2.5 AQI & Speciation Mass,09/26/2021,Micrograms/cubic meter (LC),14.0,55,California,San Bernardino,VILLAGE,0.0032570463029233,,2021-09-26 21:30:00+00:00,2021-09-27 00:11:00+00:00,34.10819,-117.1843,2021/09/26 21:35:00+00,US-CA,Grass,21:30:00+00,0 days 02:41:00
47034,Acceptable PM2.5 AQI & Speciation Mass,05/26/2022,Micrograms/cubic meter (LC),18.3,64,California,San Bernardino,ELK TRAIL,415.149513002531,,2022-05-26 19:23:00+00:00,2022-06-04 00:59:59+00:00,34.07631,-116.4352,2022/05/26 19:30:00+00,US-CA,Grass-Shrub,19:23:00+00,8 days 05:36:59
38900,Acceptable PM2.5 AQI & Speciation Mass,05/26/2022,Micrograms/cubic meter (LC),6.0,25,California,San Bernardino,ELK TRAIL,415.149513002531,,2022-05-26 19:23:00+00:00,2022-06-04 00:59:59+00:00,34.07631,-116.4352,2022/05/26 19:30:00+00,US-CA,Grass-Shrub,19:23:00+00,8 days 05:36:59
34414,Acceptable PM2.5 AQI & Speciation Mass,05/26/2022,Micrograms/cubic meter (LC),7.2,30,California,San Bernardino,ELK TRAIL,415.149513002531,,2022-05-26 19:23:00+00:00,2022-06-04 00:59:59+00:00,34.07631,-116.4352,2022/05/26 19:30:00+00,US-CA,Grass-Shrub,19:23:00+00,8 days 05:36:59
47026,Acceptable PM2.5 AQI & Speciation Mass,05/22/2022,Micrograms/cubic meter (LC),13.6,54,California,San Bernardino,WAGON TRAIN,10.8624387553515,,2022-05-22 19:07:00+00:00,2022-05-26 21:43:00+00:00,34.3052,-117.466,2022/05/22 19:07:00+00,US-CA,Brush,19:07:00+00,4 days 02:36:00
51933,Acceptable PM2.5 AQI & Speciation Mass,08/28/2021,Micrograms/cubic meter (LC),6.9,29,California,San Bernardino,ROADSIDE,66.2399282880346,,2021-08-28 18:25:00+00:00,2021-09-09 21:36:00+00:00,34.25145,-117.4546,2021/08/28 18:25:00+00,US-CA,Grass-Shrub,18:25:00+00,12 days 03:11:00
55492,Acceptable PM2.5 AQI & Speciation Mass,08/28/2021,Micrograms/cubic meter (LC),18.7,65,California,San Bernardino,ROADSIDE,66.2399282880346,,2021-08-28 18:25:00+00:00,2021-09-09 21:36:00+00:00,34.25145,-117.4546,2021/08/28 18:25:00+00,US-CA,Grass-Shrub,18:25:00+00,12 days 03:11:00
55490,Acceptable PM2.5 AQI & Speciation Mass,08/27/2021,Micrograms/cubic meter (LC),18.7,65,California,San Bernardino,WATERMANS,,Other Human Cause,2021-08-27 07:17:00+00:00,,34.17683,-117.2752,,US-CA,,07:17:00+00,
46982,Acceptable PM2.5 AQI & Speciation Mass,04/30/2022,Micrograms/cubic meter (LC),16.6,60,California,San Bernardino,CACTUS ,26.501644057685,,2022-04-30 20:27:00+00:00,2022-05-08 23:00:00+00:00,34.32366,-116.8158,,US-CA,,20:27:00+00,8 days 02:33:00
45419,Acceptable PM2.5 AQI & Speciation Mass,08/29/2021,Micrograms/cubic meter (LC),9.3,39,California,San Bernardino,RAILROAD,61.7277955635893,,2021-08-29 19:50:00+00:00,2021-09-05 18:00:00+00:00,34.33985,-117.4657,2021/08/29 19:50:00+00,US-CA,Grass-Shrub,19:50:00+00,6 days 22:10:00
51935,Acceptable PM2.5 AQI & Speciation Mass,08/29/2021,Micrograms/cubic meter (LC),13.5,54,California,San Bernardino,RAILROAD,61.7277955635893,,2021-08-29 19:50:00+00:00,2021-09-05 18:00:00+00:00,34.33985,-117.4657,2021/08/29 19:50:00+00,US-CA,Grass-Shrub,19:50:00+00,6 days 22:10:00
55494,Acceptable PM2.5 AQI & Speciation Mass,08/29/2021,Micrograms/cubic meter (LC),17.1,62,California,San Bernardino,RAILROAD,61.7277955635893,,2021-08-29 19:50:00+00:00,2021-09-05 18:00:00+00:00,34.33985,-117.4657,2021/08/29 19:50:00+00,US-CA,Grass-Shrub,19:50:00+00,6 days 22:10:00
